Ewe/V	<I>/mA	
-6.2441325E-001	-1.437823884367307E+001
-6.2780684E-001	-1.499965243625803E+001
-6.3097656E-001	-1.564339776335075E+001
-6.3444579E-001	-1.628325341832692E+001
-6.3773996E-001	-1.691191628146186E+001
-6.4107275E-001	-1.754988674249984E+001
-6.4446253E-001	-1.822338526541972E+001
-6.4782113E-001	-1.889486079070940E+001
-6.5105772E-001	-1.957964512192725E+001
-6.5448672E-001	-2.023881266447518E+001
-6.5769476E-001	-2.091459409845629E+001
-6.6114902E-001	-2.161039234038816E+001
-6.6430032E-001	-2.230560505754056E+001
-6.6766357E-001	-2.302364124001463E+001
-6.7103368E-001	-2.373544834019657E+001
-6.7432785E-001	-2.443180077231227E+001
-6.7767972E-001	-2.513719356791694E+001
-6.8098450E-001	-2.588725880306814E+001
-6.8440592E-001	-2.662266486312114E+001
-6.8767780E-001	-2.734954926578490E+001
-6.9119114E-001	-2.808614779360005E+001
-6.9435990E-001	-2.881714886057205E+001
-6.9771397E-001	-2.955086770974697E+001
-7.0106566E-001	-3.031818117538865E+001
-7.0437407E-001	-3.110192908614863E+001
-7.0771343E-001	-3.184405620794854E+001
-7.1093440E-001	-3.261829775225867E+001
-7.1438038E-001	-3.338726485208309E+001
-7.1770781E-001	-3.422937818044173E+001
-7.2095257E-001	-3.500303509031642E+001
-7.2429091E-001	-3.576399992917381E+001
-7.2769403E-001	-3.653236344726207E+001
-7.3091781E-001	-3.728432033503520E+001
-7.3436481E-001	-3.807961635682759E+001
-7.3776251E-001	-3.886387134013660E+001
-7.4097174E-001	-3.962471040809919E+001
-7.4432456E-001	-4.043558138194099E+001
-7.4765533E-001	-4.122440105988596E+001
-7.5099492E-001	-4.205106212772591E+001
-7.5429964E-001	-4.285000171871945E+001
-7.5766057E-001	-4.361525315271922E+001
-7.6095241E-001	-4.442421585897364E+001
-7.6423222E-001	-4.520005831409858E+001
-7.6757181E-001	-4.595593024750826E+001
-7.7087528E-001	-4.678028079044736E+001
-7.7425951E-001	-4.758233146225973E+001
-7.7757972E-001	-4.834922896417390E+001
-7.8094423E-001	-4.917336218327040E+001
-7.8429931E-001	-4.993229401904364E+001
-7.8762108E-001	-5.077117575994603E+001
-7.9089540E-001	-5.162926943408888E+001
-7.9428738E-001	-5.238144819585091E+001
-7.9761469E-001	-5.324269516865894E+001
-8.0086547E-001	-5.404843722793839E+001
-8.0414599E-001	-5.496527531033462E+001
-8.0754948E-001	-5.572225610407369E+001
-8.1087410E-001	-5.645565263030517E+001
-8.1422412E-001	-5.721553739239937E+001
-8.1757307E-001	-5.797539339664297E+001
-8.2091314E-001	-5.887639142962325E+001
-8.2425022E-001	-5.972081829146055E+001
-8.2747722E-001	-6.060763644029026E+001
-8.3093911E-001	-6.154932983739684E+001
-8.3419693E-001	-6.245397474689128E+001
-8.3755916E-001	-6.332746810798596E+001
-8.4085804E-001	-6.418872166495032E+001
-8.4421116E-001	-6.492839264962799E+001
-8.4755135E-001	-6.564226670084668E+001
-8.5090870E-001	-6.645217783213366E+001
-8.5423148E-001	-6.730659412530383E+001
-8.5753423E-001	-6.809931184396433E+001
-8.6083990E-001	-6.913960882756726E+001
-8.6423880E-001	-7.005053454347944E+001
-8.6760038E-001	-7.090833973405250E+001
-8.7088180E-001	-7.175633429634740E+001
-8.7416536E-001	-7.258200260854392E+001
-8.7759334E-001	-7.359037476059552E+001
-8.8082308E-001	-7.456413851314153E+001
-8.8415813E-001	-7.533804022969935E+001
-8.8749963E-001	-7.609737400061528E+001
-8.9080518E-001	-7.700415784302501E+001
-8.9420229E-001	-7.804200966518260E+001
-8.9750719E-001	-7.917940061182526E+001
-8.9916658E-001	-7.962425261277420E+001
-8.9950186E-001	-7.970305706640920E+001
